                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1633,                 3.6778,                 3.2062,                0.30568,                 0.2596,                0.21396,                0.08859,                 2.1562,                  3.045,                 2.3307,              0.0033317,              0.0033317,              0.0033317
                      2,                 1.6847,                 2.2309,                 1.7746,                0.60333,                0.53577,                0.56177,                0.30596,                  1.496,                 1.9305,                 1.6634,              0.0065331,              0.0065331,              0.0065331
                      3,                 1.4341,                 1.8196,                 1.5033,                0.68681,                0.67431,                0.70763,                0.40462,                  1.323,                 1.6124,                 1.5346,              0.0096025,              0.0096025,              0.0096025
                      4,                 1.3103,                 1.5695,                 1.3996,                0.78075,                0.78956,                0.81166,                0.50842,                 1.1687,                 1.2076,                 1.3735,               0.009406,               0.009406,               0.009406
                      5,                 1.2246,                 1.3715,                 1.3384,                0.84083,                0.81585,                0.87677,                0.56481,                 1.1297,                 1.0319,                 1.3419,               0.009406,               0.009406,               0.009406
                      6,                 1.1653,                 1.2503,                 1.3013,                0.83367,                0.85698,                0.90135,                 0.6026,                 1.0547,                0.98442,                 1.2819,               0.009208,               0.009208,               0.009208
                      7,                 1.1222,                 1.1531,                 1.2694,                0.87882,                0.88056,                0.93291,                0.63576,                 1.0343,                0.84731,                  1.263,                0.00901,                0.00901,                0.00901
                      8,                  1.088,                 1.0848,                 1.2472,                0.88671,                0.89337,                0.93543,                0.65376,                 1.0061,                0.79012,                 1.2345,               0.008812,               0.008812,               0.008812
                      9,                 1.0611,                 1.0292,                 1.2301,                 0.9369,                0.88981,                0.95127,                0.69321,                0.94066,                0.70989,                 1.1903,               0.008614,               0.008614,               0.008614
                     10,                 1.0374,                0.98302,                 1.2166,                0.92927,                0.89591,                0.95294,                 0.6982,                0.91234,                0.71428,                  1.177,               0.008416,               0.008416,               0.008416
